Your use of Forkawesome,"How do you implement icon use? (In general, not exclusive to Forkawesome) | icon font, <i>","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <svg> (raw, copy-paste)","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <svg> (via template)","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <object>","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <img>","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <iframe>","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <embed>","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, {background-image}","How do you implement icon use? (In general, not exclusive to Forkawesome) | other",How do the perceive the following aspects of Forkawesome? | style of icons,How do the perceive the following aspects of Forkawesome? | number/coverage of icons,How do the perceive the following aspects of Forkawesome? | frequency of releases,How do the perceive the following aspects of Forkawesome? | ease of font icon use,How do the perceive the following aspects of Forkawesome? | ease of SVG use,How do the perceive the following aspects of Forkawesome? | ease of cross-platform use,How do the perceive the following aspects of Forkawesome? | licensing,How do the perceive the following aspects of Forkawesome? | governance/management of project,"How do the following free, open-source icon sets compare, overall, to Forkawesome? | Google material icons https://fonts.google.com/icons?selected=Material+Icons","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Arcticons https://arcticons.onnno.nl/","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Jam icons https://jam-icons.com/","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Fontawesome free https://fontawesome.com/search?o=r&m=free","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Icomoon free pack https://icomoon.io/#preview-free","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Pixellove free icons https://www.pixellove.com/free-icons/line/simple/","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Ionicons https://ionic.io/ionicons","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Dripicons http://demo.amitjakhu.com/dripicons/","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Bootstrap icons https://icons.getbootstrap.com","How do the following free, open-source icon sets compare, overall, to Forkawesome? | (your favorite one not mentioned here)",I think it would be best for Forkawesome...
I use Forkawesome currently for most of my project,preferred,never,never,never,never,never,never,never,never,very positive,postive,very negative,very positive,negative,very positive,very positive,postive,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,"... to become much more active (requires new people/energy),... to focus on SVG usage"
I have never used Forkawesome,,,,,,,,,never,,,,,,,,,,,,,,,,,,,
I have never used Forkawesome,sometimes,sometimes,never,never,preferred,never,never,never,never,postive,postive,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,"... to continue as before (long, uncertain periods between releases),... to focus on SVG usage"
I use Forkawesome currently for some of my projects,preferred,never,never,never,never,never,never,never,preferred,very positive,very positive,very positive,postive,postive,postive,postive,postive,much worse,much worse,much worse,much worse,much worse,much worse,much worse,much worse,much worse,much worse,"... to continue as before (long, uncertain periods between releases),... to become much more active (requires new people/energy)"
I use Forkawesome currently for most of my project,preferred,never,never,never,never,never,never,never,never,postive,postive,no opinion,very positive,no opinion,no opinion,no opinion,no opinion,worse,worse,much worse,worse,much worse,much worse,worse,no opinion,worse,no opinion,"... to encourage users towards other projects (legacy mode),... to continue as before (long, uncertain periods between releases)"
I have never used Forkawesome,preferred,never,never,never,never,never,never,never,never,postive,negative,negative,,postive,postive,postive,negative,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,"... to encourage users towards other projects (legacy mode),... to become much more active (requires new people/energy)"
I used Forkawesome in the past,preferred,sometimes,never,never,never,never,never,never,never,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,very positive,very positive,no opinion,no opinion,no opinion,worse,,no opinion,no opinion,no opinion,no opinion,no opinion,"... to encourage users towards other projects (legacy mode),... to become much more active (requires new people/energy)"
I have never used Forkawesome,sometimes,preferred,sometimes,never,sometimes,never,never,never,never,very positive,no opinion,negative,no opinion,no opinion,no opinion,postive,negative,no opinion,worse,better,no opinion,no opinion,better,no opinion,no opinion,no opinion,better,"... to continue as before (long, uncertain periods between releases),... to focus on SVG usage"
I use Forkawesome currently for most of my project,preferred,never,never,never,never,never,never,never,never,postive,postive,negative,very positive,no opinion,no opinion,very positive,no opinion,no opinion,no opinion,no opinion,better,no opinion,no opinion,no opinion,no opinion,no opinion,,... to become much more active (requires new people/energy)
I use Forkawesome currently for most of my project,preferred,never,never,never,never,never,never,never,never,very positive,postive,very negative,very positive,very negative,very positive,very positive,no opinion,much worse,no opinion,no opinion,worse,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,"... to become much more active (requires new people/energy),... to focus on SVG usage"
I use Forkawesome currently for most of my project,preferred,never,never,never,sometimes,never,sometimes,sometimes,never,very positive,postive,negative,very positive,no opinion,very positive,very positive,no opinion,worse,no opinion,no opinion,worse,no opinion,no opinion,no opinion,,worse,no opinion,... to become much more active (requires new people/energy)
I use Forkawesome currently for most of my project,preferred,never,never,never,never,never,never,never,never,very positive,very positive,negative,very positive,no opinion,very positive,no opinion,no opinion,no opinion,no opinion,no opinion,worse,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,"... to continue as before (long, uncertain periods between releases),... to become much more active (requires new people/energy)"
I use Forkawesome currently for most of my project,preferred,never,never,never,never,never,never,sometimes,sometimes,postive,postive,very negative,postive,negative,postive,very positive,negative,better,no opinion,no opinion,no opinion,better,better,better,no opinion,better,no opinion,... to become much more active (requires new people/energy)
I have never used Forkawesome,preferred,never,never,never,never,never,never,sometimes,sometimes,postive,very positive,no opinion,very positive,no opinion,very positive,no opinion,no opinion,no opinion,no opinion,no opinion,worse,no opinion,no opinion,no opinion,no opinion,much worse,,"... to continue as before (long, uncertain periods between releases),... to become much more active (requires new people/energy)"
I use Forkawesome currently for some of my projects,preferred,never,never,never,never,never,never,never,never,postive,negative,very positive,very positive,very positive,very positive,postive,postive,no opinion,no opinion,no opinion,better,no opinion,no opinion,better,no opinion,better,no opinion,... to become much more active (requires new people/energy)
